,Date,Time,Avg_Temp,S1_Light,S2_Light,S3_Light,S4_Light,Avg_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
0,2017/12/22,38981,24.9075,121,34,53,40,0.08600753922513288,390,0.769230769231,0,0,1
1,2017/12/22,39012,24.9225,121,33,53,40,0.11374671508095825,390,0.646153846154,0,0,1
2,2017/12/22,39042,24.9225,121,34,53,40,0.12275115706774373,390,0.519230769231,0,0,1
3,2017/12/22,39073,24.9375,121,34,53,40,0.13859788134130532,390,0.388461538462,0,0,1
4,2017/12/22,39104,24.9375,121,34,54,40,0.07896444077714955,390,0.253846153846,0,0,1
5,2017/12/22,39134,24.9525,121,34,54,40,0.0756547104184642,390,0.165384615385,0,0,1
6,2017/12/22,39165,24.9375,120,34,54,40,0.3273000872908954,390,0.0769230769231,1,0,1
7,2017/12/22,39195,24.9525,121,34,54,41,0.07021041957962147,390,-0.0115384615385,0,0,1
8,2017/12/22,39226,24.9675,122,35,56,43,0.07697093800545404,390,-0.1,0,0,1
9,2017/12/22,39257,24.9675,101,34,57,43,0.8235770968974178,390,-0.188461538462,1,1,1
10,2017/12/22,39287,24.967499999999998,122,35,57,43,0.46626133446213186,390,-0.276923076923,1,1,1
11,2017/12/22,39318,24.982499999999998,123,35,57,44,0.16195367113243614,390,-0.365384615385,1,0,1
12,2017/12/22,39349,25.0175,123,35,57,43,0.10724818743274167,390,-0.453846153846,1,0,1
13,2017/12/22,39379,25.015,123,35,57,44,0.24770671766549554,390,-0.542307692308,1,0,1
14,2017/12/22,39410,25.0325,123,35,58,44,0.2267888015523231,390,-0.630769230769,1,0,1
15,2017/12/22,39441,25.0325,123,35,58,44,0.12097757271982507,390,-0.719230769231,1,0,1
16,2017/12/22,39471,25.0325,122,35,58,44,0.08801117367933935,395,-0.711538461538,0,0,1
17,2017/12/22,39502,25.015,122,35,57,44,0.08846602693265514,395,-0.653846153846,1,0,1
18,2017/12/22,39532,25.015,123,35,58,44,0.09375982290050662,395,-0.542307692308,1,0,1
19,2017/12/22,39563,25.0175,123,35,58,45,0.0727946187557618,395,-0.373076923077,0,0,1
20,2017/12/22,39594,25.035,123,35,58,44,0.06577736335972116,390,-0.238461538462,0,0,1
21,2017/12/22,39624,25.0325,123,35,57,44,0.07208434242404263,395,-0.0923076923077,0,0,1
22,2017/12/22,39655,25.05,123,35,58,45,0.06670621479485549,395,0.0615384615385,0,0,1
23,2017/12/22,39686,25.05,123,35,58,45,0.17225036155853002,400,0.319230769231,0,0,1
24,2017/12/22,39716,25.035,124,35,59,45,0.08302695451385432,400,0.334615384615,0,0,1
25,2017/12/22,39747,25.05,123,35,58,45,0.18730696581066245,400,0.388461538462,1,0,1
26,2017/12/22,39778,25.05,123,35,59,44,0.14761482101328013,405,0.480769230769,1,0,1
27,2017/12/22,39808,25.065,123,35,58,44,0.17199739325202146,410,0.607692307692,1,0,1
28,2017/12/22,39839,25.065,123,35,58,44,0.16388000650033924,410,0.719230769231,1,0,1
29,2017/12/22,39869,25.065,123,35,58,45,0.29377167331375853,405,0.769230769231,1,0,1
30,2017/12/22,39900,25.080000000000002,123,35,58,44,0.12807914637984896,405,0.807692307692,0,0,1
31,2017/12/22,39931,25.080000000000002,123,35,58,45,0.07200411487357017,400,0.788461538462,0,0,1
32,2017/12/22,39961,25.080000000000002,123,35,58,44,0.07085167717989782,410,0.853846153846,1,0,1
33,2017/12/22,39992,25.080000000000002,123,35,58,44,0.15192913109080042,410,0.903846153846,0,0,1
34,2017/12/22,40023,25.1125,122,35,59,44,0.06447419590941252,405,0.892307692308,0,0,1
35,2017/12/22,40053,25.0975,122,35,58,44,0.14058308187829974,410,0.915384615385,0,0,1
36,2017/12/22,40084,25.0975,123,35,57,44,0.0881866704104959,410,0.923076923077,0,0,1
37,2017/12/22,40115,25.095000000000002,123,35,58,44,0.05692425097622217,415,0.961538461538,0,0,1
38,2017/12/22,40145,25.080000000000002,123,35,58,44,0.05885661912765424,420,1.02692307692,0,0,1
39,2017/12/22,40176,25.095000000000002,123,35,57,43,0.061601405764820455,425,1.11538461538,0,0,1
40,2017/12/22,40206,25.11,123,35,57,44,0.18168653908671234,425,1.17692307692,0,0,1
41,2017/12/22,40237,25.1125,123,35,59,45,0.13223461874832745,420,1.21538461538,0,0,1
42,2017/12/22,40268,25.127499999999998,123,36,59,45,0.08107200928842206,420,1.23461538462,0,0,1
43,2017/12/22,40298,25.1125,123,35,59,45,0.2030590960669462,420,1.23461538462,1,0,1
44,2017/12/22,40329,25.0975,123,35,59,45,0.18411592147443762,420,1.21538461538,0,0,1
45,2017/12/22,40360,25.127499999999998,124,35,60,46,0.07437557848094851,425,1.17307692308,0,0,1
46,2017/12/22,40390,25.127499999999998,124,36,61,47,0.21977049008908237,430,1.2,0,0,1
47,2017/12/22,40421,25.1425,124,36,61,46,0.2828674579643518,430,1.2,1,0,1
48,2017/12/22,40452,25.1425,124,36,61,46,0.07325683002969413,435,1.26923076923,0,0,1
49,2017/12/22,40482,25.125,124,36,60,46,0.06344227580643384,425,1.21923076923,0,0,1
50,2017/12/22,40513,25.1575,123,35,59,45,0.08756777834952949,425,1.15,0,0,1
51,2017/12/22,40543,25.1425,123,35,59,45,0.0643525900657443,420,1.06538461538,0,0,1
52,2017/12/22,40574,25.1425,124,36,60,46,0.1311310344966581,420,1.01923076923,1,0,1
53,2017/12/22,40605,25.1425,123,35,60,45,0.12682576792713096,420,0.965384615385,0,0,1
54,2017/12/22,40635,25.1575,123,35,60,45,0.18802714609963894,430,0.946153846154,1,0,1
55,2017/12/22,40666,25.1575,123,35,60,45,0.08572321289096399,435,0.953846153846,0,0,1
56,2017/12/22,40697,25.1575,123,35,59,45,0.17308949505304594,430,0.842307692308,0,0,1
57,2017/12/22,40727,25.1425,123,35,60,45,0.17222687660855915,445,0.946153846154,0,0,1
58,2017/12/22,40758,25.125,123,35,59,45,0.07085167717989782,440,0.976923076923,0,0,1
59,2017/12/22,40789,25.1725,123,35,59,45,0.11288766920110979,440,0.934615384615,0,0,1
60,2017/12/22,40819,25.1725,124,36,61,47,0.11880161199033404,435,0.869230769231,0,0,1
61,2017/12/22,40850,25.1875,124,36,62,47,0.14915963080299907,430,0.738461538462,1,0,1
62,2017/12/22,40880,25.1725,124,36,61,46,0.1738271838910021,435,0.688461538462,0,0,1
63,2017/12/22,40911,25.1875,123,36,60,45,0.19431191042786197,440,0.719230769231,1,0,1
64,2017/12/22,40942,25.2025,123,35,60,46,0.14145669832584537,445,0.830769230769,0,0,1
65,2017/12/22,40972,25.1875,123,35,60,45,0.10360080256445406,445,0.926923076923,0,0,1
66,2017/12/22,41003,25.1875,124,36,60,45,0.10955592060513011,445,0.957692307692,0,0,1
67,2017/12/22,41034,25.2025,124,35,60,45,0.0915343871245193,445,0.969230769231,0,0,1
68,2017/12/22,41064,25.2175,124,36,60,46,0.09904902036453613,440,0.915384615385,0,0,1
69,2017/12/22,41095,25.2175,124,36,63,48,0.10931557710148963,440,0.846153846154,0,0,1
